AKT3
ANK3
ANKRD20A5P
APLP2
ARHGEF11
ATP8A2
C2CD5
CACNA1E
CADPS
CAMK2B
CEP290
CNOT6
CYFIP2
CYP2C8
DLGAP4
EIF4G3
EPB41L1
ERC2
FAM193A
FKBP15
HP1BP3
ICA1
IMMT
IQCB1
FALRN
KCNQ2
KIF3A
KMT2C
LOC100630923
MADD
MARK3
MNAT1
NCAM1
NFIX
PACRGL
PDE2A
PLEKHA1
PLEKHA5
POLDIP3
PPP6E3
PRUNE2
PTPRD
PTPRT
RAP1GAP
RAPGEF4
RAPGEF6
RNASET2
SCN1A
SEPT7P2
SETD5
SH3KBP1
SHISA9
STMN2
STXBP1
STXBP5L
SYNE1
SYT7
TRAPPC12
TRRAP
UNC13A
UNC79
UQCRC2
VWA8
WHSC1L1
ZNF138
ZNF292
