RPH3A
VPS8
SV2C
TMEM195
NRXN1
DENND1A
ABCD3
HIP1R
ERO1L
AGBL4
USP10
NPLOC4
PSMD3
HSP90AA1
HERC2
RFWD2
MARCH6
DCAF12
USP43
UBAC2
DOCK11
RORA
ARF3
MAPK8IP3
CALM2
WEE1
FGF1
ASAP2
MAPK10
ULK4
DGKI
ADRBK2
FGF14
NOTCH3
RGS14
PRKACB
ALK
OTUD5
ARL13B
VAV2
PDE2A
PDE4B
PDE4DIP
GLMN
AKT3
ARHGAP12
TACC3
PRKAR1B
JAKMIP3
MED12L
MYT1L
ZNF195
RPA2
SP3
TAF3
BAZ1B
DNMT1
ZNF461
NR6A1
CAMTA1
BNC2
SMYD3
TBX21
SFRS10
ADARB2
RBM8A
RANBP3
ELAVL4
PUM1
LSM14A
DAG1
LRPPRC
CTNNA2
TLN2
LRRFIP1
KLC1
DYNC2H1
FRMD4B
KIFAP3
C2CD3
TBCE
DNAH14
CADM1
LRRC7
TIMP4
CDH1
KIRREL3
CTNNA1
CTNN3
DMD
CLSTN3
PARD6G
ADAMTS13
DSCAM
KCNH1
KCNMA1
KCNN2
SLC6A2
CACNA1C
CACNG4
KFMF1
PLA2G4A
PDE3A
SGPL1
PGM1
GALNTL4
PDSS2
NME7
PAPSS1
XKR6
SPATA6
SEC14L1
CLEC16A
PRR16
C1orf159
C1orf93
BM677952
BG186541
BU616901
BM723461
NEAT1
CR612700
TVAS5
TFEB-Alpha
BDNFOS
CUGBP2
ANKRD28
APBA2
ATP6V1H
KIF18A
DNAH3
DDEF2
SYNGR1
GAS2
KNTC1
ZNF365
GPC5
RPS6KC1
DLG2
ARHGAP21
GPR158
ATRNL1
STK33
LRRK1
NAV2
DIP2C
ZNF709
SOX6
CREM
LDB2
MED9
CTNNA3
PCDH15
PANX1
HPSE2
OR4C45
OR8U8
OR9Q1
NPC1
IMMP2L
STIM1
ASGL1
ADK
HSD17B12
PHYHIPL
MGAT4C
C1S
vWF-CP
ANKRD30B
KIAA1467
AK091365
TTC18
TRIM5
FAM24B
DNAJC1
NOXIN
RNF169
MRGPRX3
KIAA1217
TMEM151A
CCDC6
FAM168A
MACROD2
